financial_year,actual_revised_estimated,sector,ministry,type,amount,percent_of_gdp
2012,Actual,Security and External Relations,Foreign Affairs,Development,45,0.000
2013,Actual,Security and External Relations,Foreign Affairs,Development,59,0.000
2014,Actual,Security and External Relations,Foreign Affairs,Development,40,0.000
2015,Actual,Security and External Relations,Foreign Affairs,Development,19,0.000
2016,Actual,Security and External Relations,Foreign Affairs,Development,53,0.000
2017,Revised,Security and External Relations,Foreign Affairs,Development,30,0.000
2018,Estimated,Security and External Relations,Foreign Affairs,Development,26,0.000
1997,Actual,Economic Development,Transport,Operating,314,0.002
1998,Actual,Economic Development,Transport,Operating,442,0.003
1999,Actual,Economic Development,Transport,Operating,409,0.003
2000,Actual,Economic Development,Transport,Operating,2390,0.014
2001,Actual,Economic Development,Transport,Operating,406,0.003
2002,Actual,Economic Development,Transport,Operating,385,0.002
2003,Actual,Economic Development,Transport,Operating,292,0.002
2004,Actual,Economic Development,Transport,Operating,289,0.001
2005,Actual,Economic Development,Transport,Operating,277,0.001
2006,Actual,Economic Development,Transport,Operating,285,0.001
2007,Actual,Economic Development,Transport,Operating,321,0.001
2008,Actual,Economic Development,Transport,Operating,367,0.001
2009,Actual,Economic Development,Transport,Operating,371,0.001
2010,Actual,Economic Development,Transport,Operating,456,0.001
2011,Actual,Economic Development,Transport,Operating,464,0.001
2012,Actual,Economic Development,Transport,Operating,502,0.001
2013,Actual,Economic Development,Transport,Operating,555,0.001
2014,Actual,Economic Development,Transport,Operating,598,0.001
2015,Actual,Economic Development,Transport,Operating,783,0.002
2016,Actual,Economic Development,Transport,Operating,953,0.002
2017,Revised,Economic Development,Transport,Operating,1611,0.004
2018,Estimated,Economic Development,Transport,Operating,1809,0.004
1997,Actual,Economic Development,Transport,Development,1346,0.009
1998,Actual,Economic Development,Transport,Development,1737,0.012
1999,Actual,Economic Development,Transport,Development,720,0.005
2000,Actual,Economic Development,Transport,Development,1130,0.007
2001,Actual,Economic Development,Transport,Development,1508,0.009
2002,Actual,Economic Development,Transport,Development,1203,0.007
2003,Actual,Economic Development,Transport,Development,1115,0.006
2004,Actual,Economic Development,Transport,Development,1776,0.009
2005,Actual,Economic Development,Transport,Development,1617,0.007
2006,Actual,Economic Development,Transport,Development,1518,0.006
2007,Actual,Economic Development,Transport,Development,1621,0.006
2008,Actual,Economic Development,Transport,Development,3379,0.013
2009,Actual,Economic Development,Transport,Development,4082,0.014
2010,Actual,Economic Development,Transport,Development,4250,0.013
2011,Actual,Economic Development,Transport,Development,4003,0.011
2012,Actual,Economic Development,Transport,Development,5414,0.015
2013,Actual,Economic Development,Transport,Development,5504,0.014
2014,Actual,Economic Development,Transport,Development,5489,0.014
2015,Actual,Economic Development,Transport,Development,10332,0.025
2016,Actual,Economic Development,Transport,Development,9319,0.021
2017,Revised,Economic Development,Transport,Development,7372,0.016
2018,Estimated,Economic Development,Transport,Development,11899,0.025
1997,Actual,Economic Development,Trade and Industry,Operating,341,0.002
1998,Actual,Economic Development,Trade and Industry,Operating,315,0.002
1999,Actual,Economic Development,Trade and Industry,Operating,366,0.002
2000,Actual,Economic Development,Trade and Industry,Operating,412,0.002
2001,Actual,Economic Development,Trade and Industry,Operating,553,0.003
2002,Actual,Economic Development,Trade and Industry,Operating,564,0.003
2003,Actual,Economic Development,Trade and Industry,Operating,497,0.003
2004,Actual,Economic Development,Trade and Industry,Operating,392,0.002
2005,Actual,Economic Development,Trade and Industry,Operating,436,0.002
2006,Actual,Economic Development,Trade and Industry,Operating,473,0.002
2007,Actual,Economic Development,Trade and Industry,Operating,528,0.002
2008,Actual,Economic Development,Trade and Industry,Operating,660,0.002
2009,Actual,Economic Development,Trade and Industry,Operating,704,0.002
2010,Actual,Economic Development,Trade and Industry,Operating,684,0.002
2011,Actual,Economic Development,Trade and Industry,Operating,671,0.002
2012,Actual,Economic Development,Trade and Industry,Operating,685,0.002
2013,Actual,Economic Development,Trade and Industry,Operating,710,0.002
2014,Actual,Economic Development,Trade and Industry,Operating,729,0.002
2015,Actual,Economic Development,Trade and Industry,Operating,783,0.002
2016,Actual,Economic Development,Trade and Industry,Operating,921,0.002
2017,Revised,Economic Development,Trade and Industry,Operating,955,0.002
2018,Estimated,Economic Development,Trade and Industry,Operating,978,0.002
1997,Actual,Economic Development,Trade and Industry,Development,2175,0.015
1998,Actual,Economic Development,Trade and Industry,Development,2646,0.019
1999,Actual,Economic Development,Trade and Industry,Development,2073,0.014
2000,Actual,Economic Development,Trade and Industry,Development,1820,0.011
2001,Actual,Economic Development,Trade and Industry,Development,1293,0.008
2002,Actual,Economic Development,Trade and Industry,Development,1009,0.006
2003,Actual,Economic Development,Trade and Industry,Development,1421,0.008
2004,Actual,Economic Development,Trade and Industry,Development,1154,0.006
2005,Actual,Economic Development,Trade and Industry,Development,1055,0.005
2006,Actual,Economic Development,Trade and Industry,Development,1207,0.005
2007,Actual,Economic Development,Trade and Industry,Development,1516,0.005
2008,Actual,Economic Development,Trade and Industry,Development,2183,0.008
2009,Actual,Economic Development,Trade and Industry,Development,2334,0.008
2010,Actual,Economic Development,Trade and Industry,Development,2673,0.008
2011,Actual,Economic Development,Trade and Industry,Development,2553,0.007
2012,Actual,Economic Development,Trade and Industry,Development,2387,0.007
2013,Actual,Economic Development,Trade and Industry,Development,1947,0.005
2014,Actual,Economic Development,Trade and Industry,Development,2102,0.005
2015,Actual,Economic Development,Trade and Industry,Development,2398,0.006
2016,Actual,Economic Development,Trade and Industry,Development,2858,0.007
2017,Revised,Economic Development,Trade and Industry,Development,2743,0.006
2018,Estimated,Economic Development,Trade and Industry,Development,3392,0.007
1997,Actual,Economic Development,Manpower,Operating,53,0.000
1998,Actual,Economic Development,Manpower,Operating,136,0.001
1999,Actual,Economic Development,Manpower,Operating,91,0.001
2000,Actual,Economic Development,Manpower,Operating,107,0.001
2001,Actual,Economic Development,Manpower,Operating,130,0.001
2002,Actual,Economic Development,Manpower,Operating,156,0.001
2003,Actual,Economic Development,Manpower,Operating,158,0.001
2004,Actual,Economic Development,Manpower,Operating,161,0.001
2005,Actual,Economic Development,Manpower,Operating,166,0.001
2006,Actual,Economic Development,Manpower,Operating,188,0.001
2007,Actual,Economic Development,Manpower,Operating,225,0.001
2008,Actual,Economic Development,Manpower,Operating,224,0.001
2009,Actual,Economic Development,Manpower,Operating,414,0.001
2010,Actual,Economic Development,Manpower,Operating,439,0.001
2011,Actual,Economic Development,Manpower,Operating,380,0.001
2012,Actual,Economic Development,Manpower,Operating,456,0.001
2013,Actual,Economic Development,Manpower,Operating,496,0.001
2014,Actual,Economic Development,Manpower,Operating,520,0.001
2015,Actual,Economic Development,Manpower,Operating,611,0.001
2016,Actual,Economic Development,Manpower,Operating,634,0.001
2017,Revised,Economic Development,Manpower,Operating,649,0.001
2018,Estimated,Economic Development,Manpower,Operating,588,0.001
1997,Actual,Economic Development,Manpower,Development,5,0.000
1998,Actual,Economic Development,Manpower,Development,12,0.000
1999,Actual,Economic Development,Manpower,Development,6,0.000
2000,Actual,Economic Development,Manpower,Development,18,0.000
2001,Actual,Economic Development,Manpower,Development,82,0.001
2002,Actual,Economic Development,Manpower,Development,38,0.000
2003,Actual,Economic Development,Manpower,Development,54,0.000
2004,Actual,Economic Development,Manpower,Development,52,0.000
2005,Actual,Economic Development,Manpower,Development,36,0.000
2006,Actual,Economic Development,Manpower,Development,15,0.000
2007,Actual,Economic Development,Manpower,Development,24,0.000
2008,Actual,Economic Development,Manpower,Development,35,0.000
2009,Actual,Economic Development,Manpower,Development,22,0.000
2010,Actual,Economic Development,Manpower,Development,42,0.000
2011,Actual,Economic Development,Manpower,Development,62,0.000
2012,Actual,Economic Development,Manpower,Development,28,0.000
2013,Actual,Economic Development,Manpower,Development,28,0.000
2014,Actual,Economic Development,Manpower,Development,37,0.000
2015,Actual,Economic Development,Manpower,Development,25,0.000
2016,Actual,Economic Development,Manpower,Development,21,0.000
2017,Revised,Economic Development,Manpower,Development,34,0.000
2018,Estimated,Economic Development,Manpower,Development,24,0.000
1997,Actual,Economic Development,Info-Communications and Media Development,Operating,0,0.000
1998,Actual,Economic Development,Info-Communications and Media Development,Operating,0,0.000
1999,Actual,Economic Development,Info-Communications and Media Development,Operating,0,0.000
2000,Actual,Economic Development,Info-Communications and Media Development,Operating,0,0.000
2001,Actual,Economic Development,Info-Communications and Media Development,Operating,24,0.000
2002,Actual,Economic Development,Info-Communications and Media Development,Operating,28,0.000
2003,Actual,Economic Development,Info-Communications and Media Development,Operating,47,0.000
2004,Actual,Economic Development,Info-Communications and Media Development,Operating,42,0.000
2005,Actual,Economic Development,Info-Communications and Media Development,Operating,39,0.000
2006,Actual,Economic Development,Info-Communications and Media Development,Operating,38,0.000
2007,Actual,Economic Development,Info-Communications and Media Development,Operating,37,0.000
2008,Actual,Economic Development,Info-Communications and Media Development,Operating,34,0.000
2009,Actual,Economic Development,Info-Communications and Media Development,Operating,76,0.000
2010,Actual,Economic Development,Info-Communications and Media Development,Operating,88,0.000
2011,Actual,Economic Development,Info-Communications and Media Development,Operating,160,0.000
2012,Actual,Economic Development,Info-Communications and Media Development,Operating,227,0.001
2013,Actual,Economic Development,Info-Communications and Media Development,Operating,267,0.001
2014,Actual,Economic Development,Info-Communications and Media Development,Operating,378,0.001
2015,Actual,Economic Development,Info-Communications and Media Development,Operating,454,0.001
2016,Actual,Economic Development,Info-Communications and Media Development,Operating,490,0.001
2017,Revised,Economic Development,Info-Communications and Media Development,Operating,377,0.001
2018,Estimated,Economic Development,Info-Communications and Media Development,Operating,503,0.001
1997,Actual,Economic Development,Info-Communications and Media Development,Development,39,0.000
1998,Actual,Economic Development,Info-Communications and Media Development,Development,94,0.001
1999,Actual,Economic Development,Info-Communications and Media Development,Development,82,0.001
2000,Actual,Economic Development,Info-Communications and Media Development,Development,179,0.001
2001,Actual,Economic Development,Info-Communications and Media Development,Development,23,0.000
2002,Actual,Economic Development,Info-Communications and Media Development,Development,5,0.000
2003,Actual,Economic Development,Info-Communications and Media Development,Development,25,0.000
2004,Actual,Economic Development,Info-Communications and Media Development,Development,33,0.000
2005,Actual,Economic Development,Info-Communications and Media Development,Development,39,0.000
2006,Actual,Economic Development,Info-Communications and Media Development,Development,46,0.000
2007,Actual,Economic Development,Info-Communications and Media Development,Development,28,0.000
2008,Actual,Economic Development,Info-Communications and Media Development,Development,48,0.000
2009,Actual,Economic Development,Info-Communications and Media Development,Development,38,0.000
2010,Actual,Economic Development,Info-Communications and Media Development,Development,525,0.002
2011,Actual,Economic Development,Info-Communications and Media Development,Development,278,0.001
2012,Actual,Economic Development,Info-Communications and Media Development,Development,126,0.000
2013,Actual,Economic Development,Info-Communications and Media Development,Development,68,0.000
2014,Actual,Economic Development,Info-Communications and Media Development,Development,296,0.001
2015,Actual,Economic Development,Info-Communications and Media Development,Development,153,0.000
2016,Actual,Economic Development,Info-Communications and Media Development,Development,105,0.000
2017,Revised,Economic Development,Info-Communications and Media Development,Development,3,0.000
2018,Estimated,Economic Development,Info-Communications and Media Development,Development,1,0.000
1997,Actual,Government Administration,Finance,Operating,298,0.002
1998,Actual,Government Administration,Finance,Operating,310,0.002
1999,Actual,Government Administration,Finance,Operating,339,0.002
2000,Actual,Government Administration,Finance,Operating,388,0.002
2001,Actual,Government Administration,Finance,Operating,352,0.002
2002,Actual,Government Administration,Finance,Operating,379,0.002
2003,Actual,Government Administration,Finance,Operating,333,0.002
2004,Actual,Government Administration,Finance,Operating,318,0.002
2005,Actual,Government Administration,Finance,Operating,345,0.002
2006,Actual,Government Administration,Finance,Operating,428,0.002
2007,Actual,Government Administration,Finance,Operating,438,0.002
2008,Actual,Government Administration,Finance,Operating,484,0.002
2009,Actual,Government Administration,Finance,Operating,528,0.002
2010,Actual,Government Administration,Finance,Operating,552,0.002
2011,Actual,Government Administration,Finance,Operating,617,0.002
2012,Actual,Government Administration,Finance,Operating,631,0.002
2013,Actual,Government Administration,Finance,Operating,711,0.002
2014,Actual,Government Administration,Finance,Operating,682,0.002
2015,Actual,Government Administration,Finance,Operating,740,0.002
2016,Actual,Government Administration,Finance,Operating,824,0.002
2017,Revised,Government Administration,Finance,Operating,840,0.002
2018,Estimated,Government Administration,Finance,Operating,857,0.002
1997,Actual,Government Administration,Finance,Development,240,0.002
1998,Actual,Government Administration,Finance,Development,338,0.002
1999,Actual,Government Administration,Finance,Development,199,0.001
2000,Actual,Government Administration,Finance,Development,57,0.000
2001,Actual,Government Administration,Finance,Development,70,0.000
2002,Actual,Government Administration,Finance,Development,100,0.001
2003,Actual,Government Administration,Finance,Development,214,0.001
2004,Actual,Government Administration,Finance,Development,308,0.002
2005,Actual,Government Administration,Finance,Development,350,0.002
2006,Actual,Government Administration,Finance,Development,10,0.000
2007,Actual,Government Administration,Finance,Development,44,0.000
2008,Actual,Government Administration,Finance,Development,25,0.000
2009,Actual,Government Administration,Finance,Development,17,0.000
2010,Actual,Government Administration,Finance,Development,21,0.000
2011,Actual,Government Administration,Finance,Development,30,0.000
2012,Actual,Government Administration,Finance,Development,24,0.000
2013,Actual,Government Administration,Finance,Development,25,0.000
2014,Actual,Government Administration,Finance,Development,44,0.000
2015,Actual,Government Administration,Finance,Development,53,0.000
2016,Actual,Government Administration,Finance,Development,72,0.000
2017,Revised,Government Administration,Finance,Development,65,0.000
2018,Estimated,Government Administration,Finance,Development,181,0.000
1997,Actual,Government Administration,Law,Operating,89,0.001
1998,Actual,Government Administration,Law,Operating,97,0.001
1999,Actual,Government Administration,Law,Operating,109,0.001
2000,Actual,Government Administration,Law,Operating,120,0.001
2001,Actual,Government Administration,Law,Operating,112,0.001
2002,Actual,Government Administration,Law,Operating,103,0.001
2003,Actual,Government Administration,Law,Operating,96,0.001
2004,Actual,Government Administration,Law,Operating,97,0.000
2005,Actual,Government Administration,Law,Operating,100,0.000
2006,Actual,Government Administration,Law,Operating,106,0.000
2007,Actual,Government Administration,Law,Operating,107,0.000
2008,Actual,Government Administration,Law,Operating,118,0.000
2009,Actual,Government Administration,Law,Operating,127,0.000
2010,Actual,Government Administration,Law,Operating,119,0.000
2011,Actual,Government Administration,Law,Operating,123,0.000
2012,Actual,Government Administration,Law,Operating,163,0.000
2013,Actual,Government Administration,Law,Operating,167,0.000
2014,Actual,Government Administration,Law,Operating,177,0.000
2015,Actual,Government Administration,Law,Operating,174,0.000
2016,Actual,Government Administration,Law,Operating,181,0.000
2017,Revised,Government Administration,Law,Operating,188,0.000
2018,Estimated,Government Administration,Law,Operating,193,0.000
1997,Actual,Government Administration,Law,Development,435,0.003
1998,Actual,Government Administration,Law,Development,402,0.003
1999,Actual,Government Administration,Law,Development,310,0.002
2000,Actual,Government Administration,Law,Development,131,0.001
2001,Actual,Government Administration,Law,Development,213,0.001
2002,Actual,Government Administration,Law,Development,325,0.002
2003,Actual,Government Administration,Law,Development,184,0.001
2004,Actual,Government Administration,Law,Development,329,0.002
2005,Actual,Government Administration,Law,Development,218,0.001
2006,Actual,Government Administration,Law,Development,167,0.001
2007,Actual,Government Administration,Law,Development,123,0.000
2008,Actual,Government Administration,Law,Development,153,0.001
2009,Actual,Government Administration,Law,Development,166,0.001
2010,Actual,Government Administration,Law,Development,148,0.000
2011,Actual,Government Administration,Law,Development,130,0.000
2012,Actual,Government Administration,Law,Development,316,0.001
2013,Actual,Government Administration,Law,Development,273,0.001
2014,Actual,Government Administration,Law,Development,434,0.001
2015,Actual,Government Administration,Law,Development,319,0.001
2016,Actual,Government Administration,Law,Development,377,0.001
2017,Revised,Government Administration,Law,Development,320,0.001
2018,Estimated,Government Administration,Law,Development,218,0.000
1997,Actual,Government Administration,Organs of State,Operating,150,0.001
1998,Actual,Government Administration,Organs of State,Operating,135,0.001
1999,Actual,Government Administration,Organs of State,Operating,136,0.001
2000,Actual,Government Administration,Organs of State,Operating,170,0.001
2001,Actual,Government Administration,Organs of State,Operating,173,0.001
2002,Actual,Government Administration,Organs of State,Operating,186,0.001
2003,Actual,Government Administration,Organs of State,Operating,182,0.001
2004,Actual,Government Administration,Organs of State,Operating,187,0.001
2005,Actual,Government Administration,Organs of State,Operating,186,0.001
2006,Actual,Government Administration,Organs of State,Operating,195,0.001
2007,Actual,Government Administration,Organs of State,Operating,247,0.001
2008,Actual,Government Administration,Organs of State,Operating,235,0.001
2009,Actual,Government Administration,Organs of State,Operating,249,0.001
2010,Actual,Government Administration,Organs of State,Operating,313,0.001
2011,Actual,Government Administration,Organs of State,Operating,318,0.001
2012,Actual,Government Administration,Organs of State,Operating,326,0.001
2013,Actual,Government Administration,Organs of State,Operating,352,0.001
2014,Actual,Government Administration,Organs of State,Operating,384,0.001
2015,Actual,Government Administration,Organs of State,Operating,410,0.001
2016,Actual,Government Administration,Organs of State,Operating,440,0.001
2017,Revised,Government Administration,Organs of State,Operating,483,0.001
2018,Estimated,Government Administration,Organs of State,Operating,510,0.001
1997,Actual,Government Administration,Organs of State,Development,39,0.000
1998,Actual,Government Administration,Organs of State,Development,98,0.001
1999,Actual,Government Administration,Organs of State,Development,251,0.002
2000,Actual,Government Administration,Organs of State,Development,38,0.000
2001,Actual,Government Administration,Organs of State,Development,30,0.000
2002,Actual,Government Administration,Organs of State,Development,33,0.000
2003,Actual,Government Administration,Organs of State,Development,47,0.000
2004,Actual,Government Administration,Organs of State,Development,151,0.001
2005,Actual,Government Administration,Organs of State,Development,31,0.000
2006,Actual,Government Administration,Organs of State,Development,11,0.000
2007,Actual,Government Administration,Organs of State,Development,6,0.000
2008,Actual,Government Administration,Organs of State,Development,10,0.000
2009,Actual,Government Administration,Organs of State,Development,17,0.000
2010,Actual,Government Administration,Organs of State,Development,14,0.000
2011,Actual,Government Administration,Organs of State,Development,17,0.000
2012,Actual,Government Administration,Organs of State,Development,163,0.000
2013,Actual,Government Administration,Organs of State,Development,22,0.000
2014,Actual,Government Administration,Organs of State,Development,23,0.000
2015,Actual,Government Administration,Organs of State,Development,47,0.000
2016,Actual,Government Administration,Organs of State,Development,55,0.000
2017,Revised,Government Administration,Organs of State,Development,78,0.000
2018,Estimated,Government Administration,Organs of State,Development,188,0.000
1997,Actual,Government Administration,Prime Minister's Office,Operating,121,0.001
1998,Actual,Government Administration,Prime Minister's Office,Operating,123,0.001
1999,Actual,Government Administration,Prime Minister's Office,Operating,108,0.001
2000,Actual,Government Administration,Prime Minister's Office,Operating,134,0.001
2001,Actual,Government Administration,Prime Minister's Office,Operating,151,0.001
2002,Actual,Government Administration,Prime Minister's Office,Operating,143,0.001
2003,Actual,Government Administration,Prime Minister's Office,Operating,135,0.001
2004,Actual,Government Administration,Prime Minister's Office,Operating,141,0.001
2005,Actual,Government Administration,Prime Minister's Office,Operating,136,0.001
2006,Actual,Government Administration,Prime Minister's Office,Operating,151,0.001
2007,Actual,Government Administration,Prime Minister's Office,Operating,176,0.001
2008,Actual,Government Administration,Prime Minister's Office,Operating,194,0.001
2009,Actual,Government Administration,Prime Minister's Office,Operating,203,0.001
2010,Actual,Government Administration,Prime Minister's Office,Operating,240,0.001
2011,Actual,Government Administration,Prime Minister's Office,Operating,273,0.001
2012,Actual,Government Administration,Prime Minister's Office,Operating,259,0.001
2013,Actual,Government Administration,Prime Minister's Office,Operating,290,0.001
2014,Actual,Government Administration,Prime Minister's Office,Operating,318,0.001
2015,Actual,Government Administration,Prime Minister's Office,Operating,381,0.001
2016,Actual,Government Administration,Prime Minister's Office,Operating,374,0.001
2017,Revised,Government Administration,Prime Minister's Office,Operating,676,0.001
2018,Estimated,Government Administration,Prime Minister's Office,Operating,750,0.002
1997,Actual,Government Administration,Prime Minister's Office,Development,52,0.000
1998,Actual,Government Administration,Prime Minister's Office,Development,32,0.000
1999,Actual,Government Administration,Prime Minister's Office,Development,25,0.000
2000,Actual,Government Administration,Prime Minister's Office,Development,18,0.000
2001,Actual,Government Administration,Prime Minister's Office,Development,18,0.000
2002,Actual,Government Administration,Prime Minister's Office,Development,41,0.000
2003,Actual,Government Administration,Prime Minister's Office,Development,42,0.000
2004,Actual,Government Administration,Prime Minister's Office,Development,40,0.000
2005,Actual,Government Administration,Prime Minister's Office,Development,32,0.000
2006,Actual,Government Administration,Prime Minister's Office,Development,25,0.000
2007,Actual,Government Administration,Prime Minister's Office,Development,14,0.000
2008,Actual,Government Administration,Prime Minister's Office,Development,9,0.000
2009,Actual,Government Administration,Prime Minister's Office,Development,12,0.000
2010,Actual,Government Administration,Prime Minister's Office,Development,34,0.000
2011,Actual,Government Administration,Prime Minister's Office,Development,20,0.000
2012,Actual,Government Administration,Prime Minister's Office,Development,23,0.000
2013,Actual,Government Administration,Prime Minister's Office,Development,40,0.000
2014,Actual,Government Administration,Prime Minister's Office,Development,38,0.000
2015,Actual,Government Administration,Prime Minister's Office,Development,38,0.000
2016,Actual,Government Administration,Prime Minister's Office,Development,40,0.000
2017,Revised,Government Administration,Prime Minister's Office,Development,134,0.000
2018,Estimated,Government Administration,Prime Minister's Office,Development,187,0.000
